Dataset,Classification Type,Metric,Kernel Type,Q,Sigma,C,D,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.001024023691813151,0.4828571428571429,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.001007843017578125,0.48252100840336143,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0010022163391113282,0.48263305322128847,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0010054906209309895,0.4822969187675071,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.0009873708089192708,0.48268907563025215,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.001021114985148112,0.48336134453781515,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0010397752126057942,0.4830812324929971,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.001032416025797526,0.4824649859943977,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.0010270277659098308,0.48224089635854345,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.0009981791178385417,0.48268907563025215,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0009815375010172526,0.4827450980392156,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0010102272033691406,0.48280112044817936,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0010982195536295572,0.4826330532212885,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0010341962178548178,0.4828011204481793,0.0,0.01,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.0010461012522379558,0.4829131652661065,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0009244759877522786,0.4827450980392156,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0009154955546061198,0.4831932773109244,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0010368029276529949,0.48285714285714293,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.001042938232421875,0.4829131652661065,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0010362784067789713,0.4827450980392156,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0010346412658691407,0.48280112044817936,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0010407288869222005,0.48268907563025204,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.0010196685791015625,0.4828571428571429,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0010930856068929037,0.482296918767507,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0011409759521484376,0.4827450980392157,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.0010784784952799478,0.4829691876750701,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.0010480403900146485,0.4830252100840336,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.0010343710581461588,0.4828571428571429,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.001024023691813151,0.48268907563025204,0.0,0.0,0.005,45
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.001046466827392578,0.4825770308123249,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0010305881500244141,0.4828011204481793,0.0,0.01,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0010260740915934246,0.4825770308123249,0.0,0.01,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.0009912331899007162,0.48252100840336143,0.0,0.01,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0009299437204996745,0.4828011204481793,0.0,0.01,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0009725570678710937,0.4825210084033614,0.0,0.01,0.005,50
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0010553995768229167,0.4826330532212885,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.0010530312856038412,0.48296918767507,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0010452906290690104,0.4833613445378152,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0010329246520996093,0.4828571428571428,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0010611375172932943,0.4828011204481793,0.0,0.01,0.005,50
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.0010556379954020183,0.48336134453781515,0.0,0.01,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.001058499018351237,0.4830252100840336,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0010690848032633463,0.4828011204481793,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.0010756333669026694,0.4825770308123249,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.0010932604471842447,0.48336134453781504,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.0010521411895751953,0.4830252100840336,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0010340054829915365,0.4824649859943977,0.0,0.0,0.005,50
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0010989983876546225,0.48268907563025215,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0010953267415364583,0.48280112044817936,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0010786215464274088,0.4828571428571428,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.0015702565511067708,0.4823529411764706,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0011805057525634765,0.48252100840336126,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0011574427286783855,0.48324929971988795,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0013285636901855468,0.4824649859943977,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.0012388388315836588,0.48296918767506997,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0011708418528238933,0.48257703081232495,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0011449495951334635,0.4828011204481793,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0012219746907552083,0.4825210084033614,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.001099856694539388,0.4830252100840336,0.0,0.01,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0011079788208007812,0.482577030812325,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0011157353719075521,0.48252100840336143,0.0,0.0,0.005,55
