Dataset,Classification Type,Metric,Kernel Type,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Sigma,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,0.002,0.4825210084033612,0.0,0.06,10,0.005,90
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48302521008403354,0.0,0.02,0.5,0.005,95
PTSD,Multi,logeuclid,Gaussian,0.004,0.4829131652661064,0.0,0.01,1,0.005,95
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.48240896358543417,0.0,0.01,2,0.005,95
PTSD,Multi,logeuclid,Gaussian,0.0,0.48274509803921567,0.0,0.01,4,0.005,95
PTSD,Multi,logeuclid,Gaussian,0.002,0.4828571428571428,0.0,0.03,8,0.005,95
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.48285714285714293,0.0,0.01,10,0.005,95
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4829131652661064,0.0,0.0,0.5,0.005,100
PTSD,Multi,logeuclid,Gaussian,0.0,0.4831372549019608,0.0,0.0,1,0.005,100
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4828011204481792,0.0,0.01,2,0.005,100
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48291316526610645,0.0,0.03,4,0.005,100
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4830812324929971,0.0,0.03,8,0.005,100
PTSD,Multi,logeuclid,Gaussian,0.002,0.4830252100840336,0.0,0.08,10,0.005,100
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48324929971988795,0.0,0.02,0.5,0.005,105
PTSD,Multi,logeuclid,Gaussian,0.002,0.48252100840336126,0.0,0.0,1,0.005,105
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4824649859943978,0.0,0.02,2,0.005,105
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4823529411764707,0.0,0.04,4,0.005,105
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48252100840336126,0.0,0.01,8,0.005,105
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.4824089635854341,0.0,0.01,10,0.005,105
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48313725490196074,0.0,0.0,0.5,0.005,110
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.482577030812325,0.0,0.0,1,0.005,110
PTSD,Multi,logeuclid,Gaussian,0.0,0.48302521008403354,0.0,0.05,2,0.005,110
PTSD,Multi,logeuclid,Gaussian,0.002,0.48240896358543417,0.0,0.01,4,0.005,110
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.48252100840336126,0.0,0.04,8,0.005,110
PTSD,Multi,logeuclid,Gaussian,0.002,0.4827450980392157,0.0,0.01,10,0.005,110
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.48235294117647065,0.0,0.06,0.5,0.005,115
